PCN,ISSUED,LOCATION,FINE
LS8355344A,01/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS8355352A,01/01/2018,"BUS LANE, CANAL STREET",60
LS83553530,01/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83553541,01/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83553552,01/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83553563,01/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83553610,01/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83553621,01/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83553632,01/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83553643,01/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83553654,01/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS83553665,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553676,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553687,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553698,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553701,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553712,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553723,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553789,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS8355379A,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83553803,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83553814,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83553825,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83553836,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553847,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553858,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553869,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS8355387A,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553880,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553891,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553916,01/01/2018,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60
LS83553927,01/01/2018,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60
LS83553938,01/01/2018,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60
LS83553949,01/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS8355395A,01/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83553960,01/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83554012,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554023,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554034,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554045,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554056,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554067,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554078,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554089,01/01/2018,"BUS LANE, VICAR LANE",60
LS8355409A,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554103,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554114,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554125,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554136,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554147,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554158,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554169,01/01/2018,"BUS LANE, VICAR LANE",60
LS8355417A,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554180,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554191,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554205,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554282,01/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83554293,01/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83554307,01/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83554329,01/01/2018,"BUS LANE, BOAR LANE",60
LS8355433A,01/01/2018,"BUS LANE, BURLEY ROAD",60
LS83554340,01/01/2018,"BUS LANE, HEADROW",60
LS83554351,01/01/2018,"BUS LANE, HEADROW",60
LS83553461,02/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83553472,02/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83554216,02/01/2018,"BUS LANE, VICAR LANE",60
LS83554227,02/01/2018,"BUS LANE, VICAR LANE",60
LS83554238,02/01/2018,"BUS LANE, VICAR LANE",60
LS83554249,02/01/2018,"BUS LANE, VICAR LANE",60
LS8355425A,02/01/2018,"BUS LANE, VICAR LANE",60
LS83554952,02/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83554963,02/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83554996,02/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83555015,02/01/2018,"BUS LANE, CANAL STREET",60
LS83555026,02/01/2018,"BUS LANE, CANAL STREET",60
LS83555037,02/01/2018,"BUS LANE, CANAL STREET",60
LS83555048,02/01/2018,"BUS LANE, CANAL STREET",60
LS83555106,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555117,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555128,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555139,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS8355514A,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555150,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555161,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555172,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555183,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555194,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555274,02/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555285,02/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555296,02/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555332,02/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS83555365,02/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83555376,02/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83555387,02/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83555398,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555401,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555412,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555423,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555434,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555445,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555456,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555467,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555478,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555489,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555605,02/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83555616,02/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS8355565A,02/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS83555682,02/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83555693,02/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83555718,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555729,02/01/2018,"BUS LANE, VICAR LANE",60
LS8355573A,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555740,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555751,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555762,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555773,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555784,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555795,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555809,02/01/2018,"BUS LANE, VICAR LANE",60
LS8355581A,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555820,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555831,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555842,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555853,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555864,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555875,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555886,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555897,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555900,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555911,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555922,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555933,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555944,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555955,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555966,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555977,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555988,02/01/2018,"BUS LANE, VICAR LANE",60
LS83555999,02/01/2018,"BUS LANE, VICAR LANE",60
LS83556007,02/01/2018,"BUS LANE, VICAR LANE",60
LS83556018,02/01/2018,"BUS LANE, VICAR LANE",60
LS83556029,02/01/2018,"BUS LANE, VICAR LANE",60
LS83556222,02/01/2018,"BUS LANE, WELLINGTON ROAD",60
LS83556233,02/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83556244,02/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83556288,02/01/2018,"BUS LANE, BOAR LANE",60
LS83556299,02/01/2018,"BUS LANE, BURLEY ROAD",60
LS83554974,03/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83554985,03/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83555004,03/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83555059,03/01/2018,"BUS LANE, CANAL STREET",60
LS8355506A,03/01/2018,"BUS LANE, CANAL STREET",60
LS83555070,03/01/2018,"BUS LANE, CANAL STREET",60
LS83555081,03/01/2018,"BUS LANE, CANAL STREET",60
LS83555092,03/01/2018,"BUS LANE, CANAL STREET",60
LS83555208,03/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555219,03/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS8355522A,03/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555230,03/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555241,03/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555252,03/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555263,03/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS8355530A,03/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555310,03/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555321,03/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555343,03/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS83555354,03/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS8355549A,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555503,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555514,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555525,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555536,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555547,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555558,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555569,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS8355557A,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555580,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555591,03/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555627,03/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83555638,03/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83555649,03/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83555660,03/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS83555671,03/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS83555707,03/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS8355603A,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556040,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556051,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556062,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556073,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556084,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556095,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556109,03/01/2018,"BUS LANE, VICAR LANE",60
LS8355611A,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556120,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556131,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556142,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556153,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556164,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556175,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556186,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556197,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556200,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556211,03/01/2018,"BUS LANE, VICAR LANE",60
LS83556255,03/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83556266,03/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83556277,03/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83556302,03/01/2018,"BUS LANE, BURLEY ROAD",60
LS83556313,03/01/2018,"BUS LANE, HEADROW",60
LS83556776,04/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83556798,04/01/2018,"BUS LANE, CANAL STREET",60
LS83556801,04/01/2018,"BUS LANE, CANAL STREET",60
LS83556812,04/01/2018,"BUS LANE, CANAL STREET",60
LS83556823,04/01/2018,"BUS LANE, CANAL STREET",60
LS83556845,04/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83556856,04/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83556867,04/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83556878,04/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83556889,04/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS8355689A,04/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83556903,04/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83556925,04/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83556936,04/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83556947,04/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83556958,04/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83556969,04/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS8355697A,04/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS83556980,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83556991,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS8355700A,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557010,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557021,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557032,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557043,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557054,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557065,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557076,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557087,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557098,04/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557112,04/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83557123,04/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83557134,04/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83557145,04/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83557156,04/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83557167,04/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83557178,04/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83557189,04/01/2018,"BUS LANE, VICAR LANE",60
LS8355719A,04/01/2018,"BUS LANE, VICAR LANE",60
LS83557203,04/01/2018,"BUS LANE, VICAR LANE",60
LS83557214,04/01/2018,"BUS LANE, VICAR LANE",60
LS83557225,04/01/2018,"BUS LANE, VICAR LANE",60
LS83557236,04/01/2018,"BUS LANE, VICAR LANE",60
LS83557247,04/01/2018,"BUS LANE, VICAR LANE",60
LS83557258,04/01/2018,"BUS LANE, VICAR LANE",60
LS8355727A,04/01/2018,"BUS LANE, WELLINGTON ROAD",60
LS83557280,04/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83557291,04/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83557305,04/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83557316,04/01/2018,"BUS LANE, BOAR LANE",60
LS83557338,04/01/2018,"BUS LANE, HEADROW",60
LS83556787,05/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83556834,05/01/2018,"BUS LANE, CANAL STREET",60
LS83556914,05/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557101,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83557269,05/01/2018,"BUS LANE, VICAR LANE",60
LS83557327,05/01/2018,"BUS LANE, BURLEY ROAD",60
LS83557542,05/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557553,05/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557564,05/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557575,05/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557586,05/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557666,05/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83557677,05/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83557724,05/01/2018,"BUS LANE, CANAL STREET",60
LS83557735,05/01/2018,"BUS LANE, CANAL STREET",60
LS83557746,05/01/2018,"BUS LANE, CANAL STREET",60
LS83557837,05/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557848,05/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557859,05/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS8355786A,05/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557870,05/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557881,05/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS8355794A,05/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83557950,05/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83557961,05/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83557972,05/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558126,05/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS83558137,05/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83558148,05/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83558159,05/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS8355816A,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83558170,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83558181,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83558192,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83558206,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83558217,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83558228,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83558239,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS8355824A,05/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS8355859A,05/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83558603,05/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83558614,05/01/2018,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60
LS83558647,05/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS83558658,05/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS83558669,05/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS8355867A,05/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS83558680,05/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83558691,05/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83558705,05/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83558716,05/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83558727,05/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83558782,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558793,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558807,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558818,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558829,05/01/2018,"BUS LANE, VICAR LANE",60
LS8355883A,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558840,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558851,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558862,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558873,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558884,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558895,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558909,05/01/2018,"BUS LANE, VICAR LANE",60
LS8355891A,05/01/2018,"BUS LANE, VICAR LANE",60
LS83558920,05/01/2018,"BUS LANE, VICAR LANE",60
LS83559231,05/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83559264,05/01/2018,"BUS LANE, BOAR LANE",60
LS83559286,05/01/2018,"BUS LANE, BURLEY ROAD",60
LS83559297,05/01/2018,"BUS LANE, BURLEY ROAD",60
LS83559300,05/01/2018,"BUS LANE, BURLEY ROAD",60
LS83559311,05/01/2018,"BUS LANE, BURLEY ROAD",60
LS83559366,05/01/2018,"BUS LANE, HEADROW",60
LS83559377,05/01/2018,"BUS LANE, HEADROW",60
LS83557597,06/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557600,06/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557611,06/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557622,06/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83557688,06/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83557757,06/01/2018,"BUS LANE, CANAL STREET",60
LS83557768,06/01/2018,"BUS LANE, CANAL STREET",60
LS83557779,06/01/2018,"BUS LANE, CANAL STREET",60
LS8355778A,06/01/2018,"BUS LANE, CANAL STREET",60
LS83557790,06/01/2018,"BUS LANE, CANAL STREET",60
LS83557804,06/01/2018,"BUS LANE, CANAL STREET",60
LS83557892,06/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557906,06/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557917,06/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557928,06/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557939,06/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83557983,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83557994,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558002,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558013,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558024,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558035,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558046,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558057,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558068,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558079,06/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83558250,06/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
